service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,84.56563949584961,25,720,2024-06-13 17:14:07.899340,Laptop,84.4,82.57168088883122,24,0
CV,100.65793991088867,25,720,2024-06-13 17:14:08.015123,Laptop,95.2,82.54105212565828,25,0
CV,98.55508804321289,25,720,2024-06-13 17:14:08.134676,Laptop,95.8,82.57781155582813,25,0
CV,91.66121482849121,25,720,2024-06-13 17:14:08.240783,Laptop,87.3,82.54778480203966,24,0
CV,90.87395668029785,25,720,2024-06-13 17:14:08.347572,Laptop,84.3,82.58128846717108,24,0
CV,87.65053749084473,25,720,2024-06-13 17:14:08.447633,Laptop,83.2,82.5505859885633,24,0
CV,89.33210372924805,25,720,2024-06-13 17:14:08.558022,Laptop,83.8,82.55573378309577,24,0
CV,91.01533889770508,25,720,2024-06-13 17:14:08.674871,Laptop,83.8,82.52967537688245,24,0
CV,79.36477661132812,25,720,2024-06-13 17:14:08.770008,Laptop,83.2,82.56312989839064,24,0
CV,83.2834243774414,25,720,2024-06-13 17:14:08.865113,Laptop,83.2,82.53630976601738,24,0
CV,82.38792419433594,25,720,2024-06-13 17:14:08.959789,Laptop,82.5,82.5734254874556,24,0
CV,83.30798149108887,25,720,2024-06-13 17:14:09.055295,Laptop,82.7,82.53956553105583,24,0
CV,82.60035514831543,25,720,2024-06-13 17:14:09.151592,Laptop,85.3,82.57470322165936,24,0
CV,86.17806434631348,25,720,2024-06-13 17:14:09.250039,Laptop,84.1,82.54682650138683,24,0
CV,79.15544509887695,25,720,2024-06-13 17:14:09.342030,Laptop,85.8,82.58050216919953,24,0
CV,81.79187774658203,25,720,2024-06-13 17:14:09.436031,Laptop,83.6,82.53858265859138,24,0
CV,82.80420303344727,25,720,2024-06-13 17:14:09.532685,Laptop,85.3,82.57148431433833,24,0
CV,85.36195755004883,25,720,2024-06-13 17:14:09.633236,Laptop,88.1,82.54462732424767,24,0
CV,82.32426643371582,25,720,2024-06-13 17:14:09.728544,Laptop,84.1,82.56782311440833,24,0
