service,ip,device_type,timestamp,expected,reality,evidence,v1,v2
QR-1,192.168.31.205,NX,2024-07-06 14:58:01.253773,0.9607954516247171,1.0,0.47920454837528287,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:01.762665,0.9607954516247171,1.0,0.5092045483752828,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:02.269856,0.9607954516247171,1.0,0.5192045483752828,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:02.775924,0.9607954516247171,1.0,0.5492045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:03.282261,0.9607954516247171,1.0,0.5692045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:03.789022,0.9607954516247171,1.0,0.5792045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:04.296212,0.9607954516247171,1.0,0.6092045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:04.803745,0.9607954516247171,1.0,0.6192045483752828,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:05.310507,0.9607954516247171,1.0,0.6492045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:05.818983,0.9607954516247171,1.0,0.6692045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:06.325589,0.9607954516247171,1.0,0.6792045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:06.831441,0.9607954516247171,1.0,0.7092045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:07.338975,0.9607954516247171,1.0,0.7292045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:07.845578,0.9607954516247171,1.0,0.7492045483752828,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:08.351846,0.9607954516247171,1.0,0.7692045483752828,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:08.860386,0.9607954516247171,1.0,0.7792045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:09.369309,0.9607954516247171,1.0,0.8092045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:10.401289,0.9607954516247171,1.0,0.8492045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:11.401214,0.9607954516247171,1.0,0.8792045483752828,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:12.721244,0.9607954516247171,1.0,0.9292045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:13.661135,0.9607954516247171,1.0,0.9692045483752829,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:14.680720,0.9607954516247171,1.0,1.0092045483752827,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:16.024763,0.9204392124682719,1.0,0.12956078753172814,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:16.975407,0.9204392124682719,1.0,0.15956078753172814,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:17.955081,0.9204392124682719,1.0,0.20956078753172813,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:18.961658,0.9204392124682719,1.0,0.23956078753172813,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:19.932830,0.9204392124682719,1.0,0.27956078753172814,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:20.867688,0.9204392124682719,1.0,0.3195607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:21.821488,0.9204392124682719,1.0,0.34956078753172815,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:22.929068,0.9204392124682719,1.0,0.3895607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:23.434451,0.9204392124682719,1.0,0.40956078753172814,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:23.941161,0.9204392124682719,1.0,0.42956078753172816,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:24.447923,0.9204392124682719,1.0,0.4495607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:24.953962,0.9204392124682719,1.0,0.46956078753172814,,
