service,ip,device_type,timestamp,cpu
CV,192.168.31.183,AGX,2024-07-05 12:18:52.645544,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:52.863999,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:53.082313,8.1
CV,192.168.31.183,AGX,2024-07-05 12:18:53.298857,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:53.518721,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:53.737907,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:53.957233,8.1
CV,192.168.31.183,AGX,2024-07-05 12:18:54.172048,7.5
CV,192.168.31.183,AGX,2024-07-05 12:18:54.390024,5.5
CV,192.168.31.183,AGX,2024-07-05 12:18:54.609698,4.7
CV,192.168.31.183,AGX,2024-07-05 12:18:54.829031,6.4
CV,192.168.31.183,AGX,2024-07-05 12:18:55.044888,11.5
CV,192.168.31.183,AGX,2024-07-05 12:18:55.259223,6.8
CV,192.168.31.183,AGX,2024-07-05 12:18:55.474804,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:55.688181,5.5
CV,192.168.31.183,AGX,2024-07-05 12:18:55.907840,6.0
CV,192.168.31.183,AGX,2024-07-05 12:18:56.127229,7.4
CV,192.168.31.183,AGX,2024-07-05 12:18:56.346826,6.9
CV,192.168.31.183,AGX,2024-07-05 12:18:56.566225,5.0
CV,192.168.31.183,AGX,2024-07-05 12:18:56.785525,6.1
CV,192.168.31.183,AGX,2024-07-05 12:18:57.004854,10.7
CV,192.168.31.183,AGX,2024-07-05 12:18:57.223844,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:57.443759,5.5
CV,192.168.31.183,AGX,2024-07-05 12:18:57.662683,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:57.882086,5.2
CV,192.168.31.183,AGX,2024-07-05 12:18:58.098915,9.6
CV,192.168.31.183,AGX,2024-07-05 12:18:58.318300,7.0
CV,192.168.31.183,AGX,2024-07-05 12:18:58.538328,5.7
CV,192.168.31.183,AGX,2024-07-05 12:18:58.752326,5.2
CV,192.168.31.183,AGX,2024-07-05 12:18:58.971803,7.8
CV,192.168.31.183,AGX,2024-07-05 12:18:59.193725,6.3
CV,192.168.31.183,AGX,2024-07-05 12:18:59.412119,7.3
CV,192.168.31.183,AGX,2024-07-05 12:18:59.631104,5.3
CV,192.168.31.183,AGX,2024-07-05 12:18:59.849612,6.1
CV,192.168.31.183,AGX,2024-07-05 12:19:00.069083,9.4
CV,192.168.31.183,AGX,2024-07-05 12:19:00.288151,6.9
CV,192.168.31.183,AGX,2024-07-05 12:19:00.503271,5.6
CV,192.168.31.183,AGX,2024-07-05 12:19:00.722429,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:00.941582,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:01.161327,9.4
CV,192.168.31.183,AGX,2024-07-05 12:19:01.381005,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:01.600542,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:01.817526,7.4
CV,192.168.31.183,AGX,2024-07-05 12:19:02.032512,8.7
CV,192.168.31.183,AGX,2024-07-05 12:19:02.246153,7.2
CV,192.168.31.183,AGX,2024-07-05 12:19:02.465528,6.6
CV,192.168.31.183,AGX,2024-07-05 12:19:02.685181,5.9
CV,192.168.31.183,AGX,2024-07-05 12:19:02.903574,5.2
CV,192.168.31.183,AGX,2024-07-05 12:19:03.120594,9.8
CV,192.168.31.183,AGX,2024-07-05 12:19:03.339831,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:03.559257,6.2
CV,192.168.31.183,AGX,2024-07-05 12:19:03.778621,4.6
CV,192.168.31.183,AGX,2024-07-05 12:19:03.997506,7.6
CV,192.168.31.183,AGX,2024-07-05 12:19:04.215734,8.1
CV,192.168.31.183,AGX,2024-07-05 12:19:04.433489,5.2
CV,192.168.31.183,AGX,2024-07-05 12:19:04.652774,6.8
CV,192.168.31.183,AGX,2024-07-05 12:19:04.872110,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:05.091659,9.7
CV,192.168.31.183,AGX,2024-07-05 12:19:05.308269,8.5
CV,192.168.31.183,AGX,2024-07-05 12:19:05.524480,6.2
CV,192.168.31.183,AGX,2024-07-05 12:19:05.744055,4.2
CV,192.168.31.183,AGX,2024-07-05 12:19:05.963489,7.8
CV,192.168.31.183,AGX,2024-07-05 12:19:06.182801,6.8
CV,192.168.31.183,AGX,2024-07-05 12:19:06.402648,5.8
CV,192.168.31.183,AGX,2024-07-05 12:19:06.621799,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:06.840757,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:07.060170,8.2
CV,192.168.31.183,AGX,2024-07-05 12:19:07.279631,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:07.498532,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:07.714182,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:07.933223,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:08.152862,8.0
CV,192.168.31.183,AGX,2024-07-05 12:19:08.371462,6.1
