service,ip,device_type,timestamp,cpu,cycle_disabled
CV,192.168.31.205,NX,2024-07-05 12:18:49.023873,8.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:49.236355,7.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:49.447995,13.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:49.663195,10.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:49.874284,11.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:50.084922,9.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:50.298747,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:50.509877,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:50.722664,17.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:50.935400,7.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:51.146961,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:51.360953,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:51.574827,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:51.786817,18.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:51.999105,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:52.210562,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:52.425642,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:52.639112,12.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:52.851853,14.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:53.065794,7.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:53.282684,13.4,False
CV,192.168.31.205,NX,2024-07-05 12:18:53.494672,10.1,False
CV,192.168.31.205,NX,2024-07-05 12:18:53.706025,13.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:53.917416,10.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:54.131214,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:54.343836,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:54.556660,11.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:54.768335,13.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:54.979859,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:55.191073,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:55.403019,10.0,False
CV,192.168.31.205,NX,2024-07-05 12:18:55.616151,9.2,False
CV,192.168.31.205,NX,2024-07-05 12:18:55.830678,20.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:56.043921,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:56.258461,8.6,False
CV,192.168.31.205,NX,2024-07-05 12:18:56.469767,10.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:56.681497,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:56.893171,11.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:57.106336,11.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:57.320392,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:57.532316,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:57.743850,18.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:57.955682,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:58.167207,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:58.378899,11.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:58.589796,7.3,False
CV,192.168.31.205,NX,2024-07-05 12:18:58.801322,20.5,False
CV,192.168.31.205,NX,2024-07-05 12:18:59.012240,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:59.224304,5.7,False
CV,192.168.31.205,NX,2024-07-05 12:18:59.435071,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:18:59.646606,11.8,False
CV,192.168.31.205,NX,2024-07-05 12:18:59.860841,15.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:00.072225,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:00.285021,11.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:00.496661,6.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:00.707421,15.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:00.924551,13.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:01.136528,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:01.348640,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:01.559251,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:01.769876,14.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:01.982632,12.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:02.194643,11.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:02.406085,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:02.616772,11.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:02.830419,16.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:03.043563,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:03.256186,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:03.467142,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:03.680333,11.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:03.891309,12.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:04.102619,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:04.315780,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:04.526931,8.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:04.737153,15.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:04.948300,11.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:05.160716,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:05.372172,13.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:05.583510,8.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:05.794749,17.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:06.006273,11.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:06.217309,11.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:06.428856,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:06.640146,11.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:06.854592,16.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:07.065438,5.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:07.276951,11.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:07.487938,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:07.699540,13.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:07.910003,14.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:08.121767,9.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:08.333867,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:08.544835,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:08.755349,16.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:08.966350,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:09.177738,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:09.389100,9.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:09.600365,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:09.811384,19.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:10.025302,7.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:10.236705,9.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:10.448173,12.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:10.659154,8.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:10.870588,16.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:11.084396,9.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:11.294955,7.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:11.507754,11.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:11.718728,17.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:12.035572,26.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:12.246280,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:12.456534,9.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:12.668270,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:12.879276,13.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:13.090980,8.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:13.302007,8.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:13.513403,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:13.723871,16.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:13.938047,9.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:14.150166,6.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:14.361429,9.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:14.572635,8.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:14.783181,14.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:14.994632,11.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:15.205686,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:15.416112,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:15.627126,11.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:15.838073,12.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:16.049252,7.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:16.260773,11.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:16.472942,10.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:16.683810,11.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:16.899612,14.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:17.116715,8.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:17.329561,7.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:17.540282,11.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:17.750859,14.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:17.961447,6.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:18.173086,10.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:18.384448,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:18.594986,8.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:18.805407,14.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:19.016776,7.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:19.228707,9.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:19.440107,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:19.652984,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:19.864643,12.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:20.079702,10.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:20.291702,10.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:20.503467,7.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:20.716465,16.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:20.928387,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:21.140183,10.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:21.354578,11.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:21.569684,7.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:21.780592,16.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:21.991481,10.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:22.203534,7.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:22.418649,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:22.632873,12.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:22.844354,15.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:23.056027,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:23.267360,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:23.479888,10.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:23.696203,11.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:23.907749,13.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:24.119057,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:24.330127,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:24.540846,8.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:24.751963,20.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:24.964464,8.0,False
CV,192.168.31.205,NX,2024-07-05 12:19:25.176005,5.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:25.387588,10.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:25.598564,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:25.809303,16.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:26.020533,9.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:26.231318,8.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:26.443127,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:26.655976,8.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:26.867072,14.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:27.078682,8.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:27.289956,11.1,False
CV,192.168.31.205,NX,2024-07-05 12:19:27.503089,7.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:27.714515,11.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:27.929475,14.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:28.152099,12.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:28.366481,8.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:28.578401,11.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:28.789138,15.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:29.002873,9.2,False
CV,192.168.31.205,NX,2024-07-05 12:19:29.213899,11.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:29.425697,9.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:29.637873,6.3,False
CV,192.168.31.205,NX,2024-07-05 12:19:29.849191,18.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:30.060742,7.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:30.272192,8.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:30.482884,11.4,False
CV,192.168.31.205,NX,2024-07-05 12:19:30.694290,10.8,False
CV,192.168.31.205,NX,2024-07-05 12:19:30.905930,10.7,False
CV,192.168.31.205,NX,2024-07-05 12:19:31.120731,9.6,False
CV,192.168.31.205,NX,2024-07-05 12:19:31.331889,9.9,False
CV,192.168.31.205,NX,2024-07-05 12:19:31.543314,9.5,False
CV,192.168.31.205,NX,2024-07-05 12:19:31.754842,16.7,False
